symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector
XWA.SI,4.099999904632568,2.0434852520528013,2.0139237796484064,153.4028318778659,2.9200000762939453,0.7521367756494335,,,,,,0.0,4.0,1,1,1.0,1.0,0.23923444976076555,0.0,,SG,79.14752441006301,AEM Holdings Ltd.,Technology
PCT.SI,2.240000009536743,2.1181694255623333,2.0643202940868957,3.0729393173040087,1.3532405408320733,0.916485791697923,54.94504976266874,67.03295791580611,66.19718357155043,25.885597860785293,-45.05495023733126,0.10333334604899089,4.0,1,1,1.0,1.0,1.1022629581497139,-0.15471700795310372,,SG,77.86144243049867,PC Partner Group Limited,Technology
AGS.SI,2.640000104904175,1.8814324510979934,1.9045713433912892,0.25930285441089895,0.4776302737061173,0.16299565069892363,87.5000186264415,84.37499844779654,64.99998360874125,77.29477078811883,-12.4999813735585,0.05666672388712565,4.0,1,1,1.0,1.0,1.45734814046435,-0.014925358528601551,,SG,77.59731709266268,The Hour Glass Limited,Consumer Cyclical
NC2.SI,0.7200000286102295,1.4483450864803764,1.6123261112566216,485.5177893991722,4.5132211413435614,4.657143178278091,75.00002483526767,58.73013552804752,52.830196742527995,90.7409063092153,-24.99997516473233,0.020333337783813476,4.0,1,1,1.0,1.0,1.0876583064315868,-0.03355701476259032,,SG,77.57338082744886,Sri Trang Agro-Industry Public Company Limited,Basic Materials
AWX.SI,9.569999694824219,7.929011441284571,4.0,226.39417216499254,5.010674578442542,2.0727649043821295,48.124986216420965,65.83333383003888,53.2520306292392,-18.65557816897544,-51.875013783579035,0.3719998677571615,4.0,1,1,1.0,1.0,1.0906416645035928,-0.07980768789906456,,SG,75.9366162636588,AEM Holdings Ltd.,Technology
TGUD.SI,2.6600000858306885,,,2.628757953884555,,0.5907797970655368,97.72727519027426,97.15909173009142,84.74577504031902,229.3300709739064,-2.2727248097257426,0.04199999173482259,4.0,1,1,1.0,1.0,0.7999088422971741,,,SG,75.23497563084345,t Gulf Dev TH SDR 1to1,
O39.SI,23.940000534057617,2.8885510930772527,2.5841700695564978,0.3977257338980514,0.4055321853342615,0.17902394146256428,60.402668240336205,75.75921107420524,65.25678591905589,76.41926622726702,-39.597331759663795,0.22200024922688802,4.0,1,1,1.0,1.0,1.067589035002784,-0.024052186550043375,,SG,75.13497564153231,Oversea-Chinese Banking Corporation Limited,Financial Services
TDED.SI,13.579999923706055,4.140679682897091,3.4291003083258498,2.634080444670681,2.252198446743885,0.33006854779314065,72.82608921000529,90.2053823595093,70.41198729291517,31.936687595365147,-27.173910789994714,0.20799999237060546,4.0,1,1,1.0,1.0,0.7772691082802548,-0.035511363828785614,,SG,74.58160628493742,t Delta TH SDR 1to1,Industrials
D05.SI,63.779998779296875,2.425807350233339,2.271912858668606,0.1483700876095829,0.3502177305692016,0.19008105868854042,70.39620344673968,83.87775006534308,72.3191671220992,73.52388735783305,-29.603796553260317,0.5393338521321615,4.0,1,1,1.0,1.0,1.0350424579769624,-0.019523508268715073,,SG,74.4475857467964,DBS Group Holdings Ltd,Financial Services
HCCD.SI,3.880000114440918,,,2.151903254698445,,0.5148260061684347,45.45458486258417,67.6767910296795,56.081084237646,20.565014112583352,-54.54541513741583,0.10266664822896322,4.0,1,1,1.0,1.0,,,,SG,72.98775576167218,h CATL HK SDR 30to1,Industrials
