symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,momentum_score,market,name
XWA.SI,4.099999904632568,2.0434852520528013,162.92539330494515,2.9200000762939453,3.0999999046325684,,,,,4.0,,0.0,1,1,1.0,1.0,1.9795098228373365,90.22403258655804,99.80221518987342,96.05530703538024,99.84239558707644,,,,,89.1653605015674,95.0178621800911,SG,AEM Holdings Ltd.
SNDK,1831.5,36.17495109446233,26.169313096633545,35.39544431943786,2.0572897664075156,100.0,71.84021923890796,136.30472233544722,-0.0,4.0,96.4933115683753,58.968017578125,1,1,1.0,1.0,4.0,99.38900203665987,99.64398734177216,99.95933306222041,99.64539007092199,92.42544731610339,92.1474358974359,92.56461232604374,7.614314115308152,89.1653605015674,85.83943140755923,US,Sandisk Corporation
EVZ.AX,0.7350000143051147,3.887871972674649,12.394066762874994,2.4763436933848038,1.6687499411603728,100.0,85.45453954334178,118.7165872671177,-0.0,4.0,100.0,0.019000001748402915,1,1,1.0,1.0,3.1880120062387935,97.35234215885947,99.12974683544303,95.20130134200895,99.44838455476753,92.42544731610339,98.87820512820514,89.50298210735586,7.614314115308152,89.1653605015674,85.41312045106878,AU,EVZ Limited
SPL.AX,0.7549999952316284,6.273419053256242,4.408606748820247,7.0898878210467675,0.8641975136032884,100.0,97.67442053882051,97.81867374622027,-0.0,4.0,99.18699257907572,0.018999997774759927,1,1,1.0,1.0,4.0,99.38900203665987,98.0617088607595,99.26799511996747,98.3845547675335,92.42544731610339,100.0,84.29423459244532,7.614314115308152,89.1653605015674,85.40029081226051,AU,Starpharma Holdings Limited
WDC,575.5,12.45035745698624,7.613081022614847,7.89827453883208,1.2217503868744841,86.54472873974382,72.1831211726604,103.33827353761052,-13.455271260256188,4.0,95.51490957991462,13.304665120442708,1,1,1.0,1.0,4.0,99.38900203665987,98.73417721518987,99.47132980886539,98.97557131599685,79.00596421471174,92.38782051282051,85.92445328031809,21.033797216699803,89.1653605015674,84.89860845586995,US,Western Digital Corporation
CXU.AX,0.05700000002980232,4.863849745936218,4.441281876684574,7.5714281152705905,0.965517298964061,100.0,60.869566977925466,188.68314681547102,-0.0,4.0,84.61538241107088,0.00360000009338061,1,1,1.0,1.0,3.8275043950910788,98.37067209775967,98.14082278481013,99.34932899552665,98.58156028368793,92.42544731610339,77.84455128205127,97.17693836978131,7.614314115308152,89.1653605015674,84.2965550829551,AU,Cauldron Energy Limited
STX,925.989990234375,8.350919671278396,10.012474933267212,5.240644343723526,1.5251954970840633,92.91019084449225,70.52727224623565,87.80374792975941,-7.08980915550775,4.0,97.63673028149742,20.525333658854166,1,1,1.0,1.0,4.0,99.38900203665987,98.93196202531645,98.65799105327369,99.2119779353822,82.0675944333996,90.7451923076923,81.86878727634195,17.97216699801193,89.1653605015674,84.22333717418283,US,Seagate Technology Holdings plc
AMAT,501.70001220703125,3.6120944632215712,1.2391477614058581,1.6630529849087257,0.44958220600730314,100.0,71.69275056728084,153.91662172354665,-0.0,4.0,100.0,9.74190673828125,1,1,1.0,1.0,3.0073136100831905,97.0264765784114,94.42246835443038,92.43594957299716,95.0354609929078,92.42544731610339,91.98717948717949,94.63220675944333,7.614314115308152,89.1653605015674,83.86054040870539,US,"Applied Materials, Inc."
KLV.AX,0.07599999755620956,3.441637907591582,16.659233510117435,4.7777781457077,1.8148146512904164,94.99998975545145,64.51612089166616,109.4748484508739,-5.00001024454855,4.0,98.33332991848381,0.002266666789849599,1,1,1.0,1.0,2.8956249293142893,96.65987780040733,99.2879746835443,98.332655551037,99.52718676122932,83.1013916500994,83.53365384615384,87.79324055666004,16.938369781312126,89.1653605015674,83.8155234591123,AU,KLEVO FPO [KLV]
ELS.AX,7.619999885559082,5.9272612193756595,3.373245738318701,5.386792779605404,0.3905109231819692,93.74999426878395,75.59523395602682,84.68039495887315,-6.250005731216054,4.0,85.09614840884632,0.24733333587646483,1,1,1.0,1.0,4.0,99.38900203665987,97.8243670886076,98.77999186661245,93.89282899921197,82.26640159045726,94.51121794871796,80.71570576540755,17.773359840954274,89.1653605015674,83.81313729313293,AU,Elsight Limited
TEA.AX,8.229999542236328,2.181728184779184,5.327667999646114,1.0421344708776377,0.9693739707162827,100.0,86.14864951942532,121.13864061906332,-0.0,4.0,99.2559636581929,0.20133326848347982,1,1,1.0,1.0,2.070091089863227,91.73116089613035,98.29905063291139,87.23058153721026,98.66036249014972,92.42544731610339,99.03846153846155,89.9403578528827,7.614314115308152,89.1653605015674,83.78945520896943,AU,Tasmea Limited
HPE,55.150001525878906,1.5532859736016635,3.959059037110664,0.7410939468797391,1.575666531860802,95.75010671586053,88.69885339080707,168.51595767993328,-4.249893284139469,4.0,98.58336890528683,2.1120005289713544,1,1,1.0,1.0,1.658315307779082,85.70264765784114,97.98259493670885,81.82187881252541,99.29078014184397,83.3399602385686,99.43910256410257,96.34194831013917,16.69980119284294,89.1653605015674,83.30934159512668,US,Hewlett Packard Enterprise Company
MU,996.0,8.227279451148917,6.399992200553383,5.4715311637740625,1.5095540039727582,79.00410698871993,68.0898002547206,63.14481561214792,-20.995893011280074,4.0,93.00136899623999,42.377986653645834,1,1,1.0,1.0,4.0,99.38900203665987,98.61550632911393,98.86132574217162,99.1331757289204,74.75149105367794,88.46153846153845,74.7117296222664,25.288270377733596,89.1653605015674,83.15304442818329,US,"Micron Technology, Inc."
TGUD.SI,2.6600000858306885,,2.628757953884555,,0.5907797970655368,97.72727519027426,84.74577504031902,229.3300709739064,-2.2727248097257426,4.0,97.15909173009142,0.04199999173482259,1,1,1.0,1.0,,,97.07278481012658,,96.92671394799054,84.2544731610338,98.71794871794873,99.00596421471172,15.785288270377734,89.1653605015674,82.9897905176795,SG,t Gulf Dev TH SDR 1to1
KLAC,2131.10009765625,2.9145691083581093,1.2979613059323218,1.3343426246254824,0.4928500338324586,100.0,66.7104755525219,143.31762461141662,-0.0,4.0,100.0,50.86680501302083,1,1,1.0,1.0,2.5502723047509983,95.23421588594705,94.58069620253164,90.15860105734038,95.94168636721828,92.42544731610339,87.21955128205127,93.51888667992047,7.614314115308152,89.1653605015674,82.87319548977645,US,KLA Corporation
CBE.AX,0.3199999928474426,3.595909493000426,1.381255269735038,3.891304208743888,0.6842105098048072,73.91304122477703,69.56521964478863,79.54544867872019,-26.08695877522297,4.0,91.3043470749257,0.016333329677581786,1,1,1.0,1.0,2.9967086910432466,96.94501018329939,94.89715189873418,97.60065067100447,97.51773049645391,71.80914512922465,89.82371794871796,79.4831013916501,28.230616302186878,89.1653605015674,82.83027605809322,AU,Cobre Limited
NUE,262.2799987792969,3.218560971142386,1.1533629431633703,0.9511913671286971,0.529195423404967,100.0,77.69622329710626,112.26952349981767,-0.0,4.0,99.33752558883576,3.5759989420572915,1,1,1.0,1.0,2.749457663116196,96.08961303462323,94.06645569620254,85.44123627490849,96.2568951930654,92.42544731610339,95.67307692307693,88.19085487077535,7.614314115308152,89.1653605015674,82.76925043618121,US,Nucor Corporation
AMD,523.2000122070312,3.931433011777537,11.697077567356283,2.55363474566991,1.623213939395562,84.96146761792866,67.00915470338529,70.07931546205504,-15.038532382071336,4.0,94.98715587264287,14.6840087890625,1,1,1.0,1.0,3.2165546162448595,97.43380855397149,99.0506329113924,95.48596990646604,99.33018124507487,78.13121272365805,87.4198717948718,76.2624254473161,21.90854870775348,89.1653605015674,82.68755686578574,US,"Advanced Micro Devices, Inc."
TER,406.8599853515625,5.659508185018596,0.9671081499917414,3.671148083718366,0.3319381205688816,96.83345868268663,64.01099744067761,112.80146893229409,-3.1665413173133765,4.0,98.94448622756222,12.456357828776042,1,1,1.0,1.0,4.0,99.38900203665987,93.19620253164557,97.19398129320862,93.06540583136328,83.81709741550696,82.7323717948718,88.31013916500994,16.222664015904574,89.1653605015674,82.56580273174866,US,"Teradyne, Inc."
LRCX,336.4100036621094,5.067481735749881,1.078859170316122,2.531289270187046,0.5670300686574454,89.62037652962175,66.21693418262632,96.07845975888281,-10.379623470378244,4.0,96.54012550987392,7.905995686848958,1,1,1.0,1.0,3.960930699644619,98.61507128309572,93.75,95.40463603090687,96.65090622537431,80.67594433399601,85.53685897435898,83.69781312127238,19.363817097415506,89.1653605015674,82.5400452853319,US,Lam Research Corporation
VMM.AX,3.5799999237060547,5.500876610171144,2.630978446024675,5.769231286509757,0.696682512651722,74.31192720752108,74.0540516855421,34.83591441591665,-25.68807279247892,4.0,74.06545590291877,0.12599999109903973,1,1,1.0,1.0,4.0,99.38900203665987,97.15189873417721,98.9019926799512,97.63593380614657,72.04771371769384,93.22916666666666,65.64612326043738,27.992047713717692,89.1653605015674,82.35102656855753,AU,Viridis Mining and Minerals Limited
DELL,421.0799865722656,1.4787688021928025,19.629618153236713,0.962548667455327,1.871399512767609,80.54616147529408,80.32029305562475,102.10038343958406,-19.453838524705912,4.0,89.0868371942744,19.810666910807292,1,1,1.0,1.0,1.609489232779937,84.5621181262729,99.44620253164557,85.64457096380642,99.5665878644602,75.70576540755467,96.9951923076923,85.32803180914513,24.33399602385686,89.1653605015674,82.30531394844462,US,Dell Technologies Inc.
COHR,421.8999938964844,4.510613374206997,4.4346167397137926,3.2223450327667695,0.6618741954981071,93.1886157701626,54.734253301654945,153.7822065396134,-6.811384229837406,4.0,93.42522486195026,12.023335774739584,1,1,1.0,1.0,3.596052432377075,98.0040733197556,98.10126582278481,96.7059780398536,97.39952718676122,82.14711729622266,65.6650641025641,94.5924453280318,17.892644135188867,89.1653605015674,82.18594174808112,US,Coherent Corp.
CNQ.AX,0.5600000023841858,1.6590866024769881,0.5341435227595955,1.5000000931322597,0.31764702747437457,93.93939941273166,80.85106814700941,130.22077277591555,-6.060600587268339,4.0,93.93939941273167,0.017333332697550455,1,1,1.0,1.0,1.727639321865438,86.92464358452139,90.18987341772153,91.56161041073607,92.63199369582348,82.42544731610339,97.27564102564102,91.80914512922466,17.61431411530815,89.1653605015674,82.17755879962745,AU,Clean TeQ Water Limited
STLD,276.8500061035156,2.455066342998366,0.9415779468815381,0.8161297585675271,0.4617687638246988,100.0,81.9518110065803,108.36095805156339,-0.0,4.0,100.0,4.559335327148437,1,1,1.0,1.0,2.2491911437301524,93.36048879837067,93.0379746835443,83.32655551037007,95.54767533490937,92.42544731610339,97.67628205128204,87.39562624254474,7.614314115308152,89.1653605015674,82.17219161711112,US,"Steel Dynamics, Inc."
GXH.NZ,2.059999942779541,1.786197653671267,0.3602239565356959,0.9671751363661991,0.8080371473232877,100.0,87.50600130280709,125.27843880576496,-0.0,4.0,100.0,0.05553332169850667,1,1,1.0,1.0,1.8109266179542693,88.10590631364562,87.89556962025317,85.76657177714519,98.14814814814815,92.42544731610339,99.11858974358975,91.01391650099404,7.614314115308152,89.1653605015674,82.13931378186165,NZ,Green Cross Health Limited
RMI.AX,0.0820000022649765,1.776471931577338,19.553397096416987,2.0000000980339583,1.6451614066167646,80.95238264185458,80.6451527620855,52.41546980034445,-19.047617358145416,4.0,84.95513593685386,0.0024666671951611837,1,1,1.0,1.0,1.8045540084281573,88.0244399185336,99.40664556962025,93.98129320862138,99.40898345153664,75.90457256461232,97.15544871794873,71.80914512922465,24.135188866799204,89.1653605015674,82.11011976982935,AU,Resource Minerals International Ltd
SLS.AX,1.5499999523162842,3.9648817255953435,3.138572402328489,4.340000152587891,0.5979380480401133,85.29409805383841,66.02563181651317,61.35844092819714,-14.705901946161584,4.0,92.4938565106964,0.055333367983500165,1,1,1.0,1.0,3.2384713017364795,97.5560081466395,97.74525316455697,98.00732004880032,96.96611505122144,78.36978131212724,85.33653846153845,74.15506958250498,21.669980119284293,89.1653605015674,82.10793626536007,AU,Solstice Minerals Limited
YUG.AX,0.09700000286102295,2.3238030863940797,9.615135173954464,2.63636357478859,1.4871795092226248,80.00000993410707,78.26086674836387,41.46008107074499,-19.99999006589293,4.0,72.49999555034886,0.001533333957195282,1,1,1.0,1.0,2.1631831875715966,92.79022403258655,98.85284810126582,95.56730378202522,99.05437352245863,75.3479125248509,95.91346153846155,67.47514910536779,24.691848906560637,89.1653605015674,82.09538689057162,AU,YUGOMTSLTD FPO [YUG]
SRG.AX,3.819999933242798,2.320157203941213,0.13275338092770117,1.0875534785767305,0.4308315174346369,100.0,89.69072925131142,130.8080671855522,-0.0,4.0,100.0,0.0713333288828532,1,1,1.0,1.0,2.160794286775765,92.70875763747453,82.91139240506328,87.71858479056527,94.75965327029157,92.42544731610339,99.51923076923077,91.84890656063618,7.614314115308152,89.1653605015674,82.07462748513784,AU,SRG Global Limited
DSM.AX,0.49000000953674316,,0.5320182707390146,,0.8148147780218258,100.0,88.23528896153643,173.73494021125504,-0.0,4.0,100.0,0.012000000476837159,1,1,1.0,1.0,,,90.07120253164557,,98.18754925137904,92.42544731610339,99.27884615384616,96.62027833001989,7.614314115308152,89.1653605015674,81.90899974283852,AU,DESERT MIN FPO [DSM]
SIQ.AX,11.920000076293945,2.05771462006204,1.5929870028779636,0.5609675585596212,0.45365857970211176,100.0,68.82352050201365,244.0722967060811,-0.0,4.0,86.66661580403645,0.12266674041748046,1,1,1.0,1.0,1.9888333676857781,90.34623217922608,95.49050632911393,77.79585197234648,95.11426319936959,92.42544731610339,89.1426282051282,99.3638170974155,7.614314115308152,89.1653605015674,81.82871343506432,AU,Smartgroup Corporation Ltd
BXN.AX,0.0860000029206276,1.9961418733189762,4.461111256735709,1.6923076482214174,0.45762715931083897,94.73686893561755,60.784318595152946,140.22993348772306,-5.263131064382448,4.0,87.13451738637917,0.003933331370353699,1,1,1.0,1.0,1.94848890085296,89.89816700610997,98.18037974683544,92.63928426189509,95.35066981875492,82.98210735586481,77.68429487179486,93.12127236580517,17.05765407554672,89.1653605015674,81.78657666713049,AU,Bioxyne Limited
AHL.AX,1.340000033378601,1.8866027370861287,2.055424353795388,0.9891264942684346,0.26906492965165985,100.0,78.57136775061521,110.24465815097193,-0.0,4.0,100.0,0.004666686058044434,1,1,1.0,1.0,1.876715295119845,88.9613034623218,96.43987341772153,86.09190727938186,91.25295508274232,92.42544731610339,95.95352564102564,87.91252485089464,7.614314115308152,89.1653605015674,81.7574679630074,AU,Adrad Holdings Limited
