symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector
GXH.NZ,2.059999942779541,1.7861979325954223,1.8403075568188259,0.3602239565356959,0.9671752964068978,0.8080371473232877,100.0,100.0,87.50600130280709,125.27843880576496,-0.0,0.05553332169850667,4.0,1,1,1.0,1.0,1.6886530406493927,0.0,,NZ,83.31501665120537,Green Cross Health Limited,Healthcare
PEB.NZ,0.30000001192092896,1.081662592491821,1.364890560533457,0.03651612815116184,0.8333333074632621,0.5151515835682337,100.0,75.61904944854251,62.49999689559232,202.45106881946964,-0.0,0.014333336551984151,4.0,1,1,1.0,1.0,2.0144007282371588,0.0,,NZ,79.9890568441788,Pacific Edge Limited,Healthcare
FCT.NZ,7.840000152587891,1.9760831688827984,1.9684411840991936,0.15200972898738618,0.3436753459205828,0.1130401393622833,100.0,91.22803935494828,71.95119752835869,108.5357708582056,-0.0,0.06400006612141927,4.0,1,1,1.0,1.0,1.5272428622334167,0.0,,NZ,78.12812441985055,F&C Investment Trust PLC,
PHL.NZ,0.6800000071525574,0.5312425196344118,0.9935121585973634,0.16526633706985308,0.22666668891906738,0.4468085295261437,94.28572012453624,96.19048008302416,92.30767349755881,96.20511723693501,-5.714279875463767,0.013666673501332601,4.0,1,1,1.0,1.0,1.84521324712564,-0.014492739851898917,,NZ,76.97397576823836,Promisia Healthcare Limited,Healthcare
TEM.NZ,7.739999771118164,3.8349448342164525,3.222791930100086,0.6804345296840538,0.8569437280828942,0.20466918931451383,72.2432739674119,80.2280901191972,57.128303688010554,108.6638804564665,-27.7567260325881,0.06939999262491862,4.0,1,1,1.0,1.0,0.9345594561240759,-0.018513870452549708,,NZ,74.26958189634392,Templeton Emerging Markets Investment Trust plc,
AFT.NZ,3.9100000858306885,0.9205510318565887,1.2561732686332563,0.004639705309826829,0.2854268488015803,0.12034386107342598,88.46154904224503,96.15384968074835,82.81251280568807,40.73557488262573,-11.538450957754977,0.04599998792012532,4.0,1,1,1.0,1.0,1.374025418617657,-0.015113335603814892,,NZ,73.27399697912865,AFT Pharmaceuticals Limited,Healthcare
LIC.NZ,1.2100000381469727,1.5772288344877345,1.6992962330657682,0.7041681687852922,0.32233596775049067,0.18627456938565135,90.9091106130818,93.16018506240032,93.75000931322074,48.85678076652574,-9.090889386918205,0.00733333428700765,4.0,1,1,1.0,1.0,0.9182537620218276,-0.004115222299809096,,NZ,72.70215577425809,Livestock Improvement Corporation Limited,Consumer Defensive
IFT.NZ,15.420000076293945,1.5356129515908976,1.6712140391453487,1.7479490465940555,0.47008150090642475,0.434418611748274,34.0909263319198,21.21213434812937,52.316077285557114,-23.80027906731827,-65.9090736680802,0.24600003560384115,4.0,1,1,1.0,1.0,1.2578448378156197,-0.03624999523162842,,NZ,72.68756105276825,Infratil Limited,Industrials
AFI.NZ,7.880000114440918,0.4880088263925859,0.9655267435707546,0.0056071764670576766,0.07022123308467054,0.13544669300722445,100.0,,,466.66666666666714,-0.0,0.06266667048136393,4.0,1,1,1.0,1.0,2.5,0.0,,NZ,72.25156736185484,Australian Foundation Investment Company Limited,Financial Services
FCG.NZ,4.460000038146973,2.171118368969256,2.100049981723717,0.6079591067891279,0.5462620610761675,0.13934744988532288,100.0,97.61910438543013,69.99996821087633,98.98997196774864,-0.0,0.02000001271565755,4.0,1,1,1.0,1.0,0.6320378657246777,-0.08418888235046451,,NZ,71.74378172392731,Fonterra Co-operative Group Limited,Consumer Defensive
