symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,weekly_rank_ret_1w,weekly_rank_weekly_exp_slope,weekly_rank_weekly_rsi,weekly_rank_vol_surge,weekly_rank_price_vs_ema20,weekly_score,market,rank_change,weekly_rank_change,name,sector
TEA.AX,8.229999542236328,2.1817282586388176,5.327667999646114,1.0421344708776377,0.9693739707162827,100.0,86.14864951942532,121.13864061906332,-0.0,4.0,99.2559636581929,0.20133326848347982,1,1,1.0,1.0,1.4579406384156446,0.0,0.1673757900109314,6358.109026448181,87.82052810376965,1.713217626888491,0.2003310618465335,1.7200835382850204,87.47300215982722,98.08510638297872,90.49676025917927,98.61995753715499,93.18181818181817,99.15433403805497,87.52642706131078,6.923890063424948,84.93657505285412,97.45222929936305,84.38501000359662,99.47145877378436,99.6828752642706,96.75324675324676,93.96186440677965,99.89429175475686,97.95274739056765,AU,0.0,-1.0,Tasmea Limited,Industrials
ELS.AX,7.619999885559082,5.9272612193756595,3.373245738318701,5.386792779605404,0.3905109231819692,93.74999426878395,75.59523395602682,84.68039495887315,-6.250005731216054,4.0,85.09614840884632,0.24733333587646483,1,1,1.0,1.0,1.2005458139669922,-0.01677420831495713,0.0013140278408982908,1671.76673446519,50.549436729757616,0.6610950173767259,0.1200133991831418,3.6340067853052958,98.59611231101512,97.3404255319149,98.92008639308855,93.31210191082803,82.24101479915433,92.7061310782241,78.01268498942918,17.864693446088793,84.93657505285412,83.7579617834395,82.76877872960365,53.276955602537,99.04862579281183,53.896103896103895,7.944915254237288,98.73150105708245,62.5796203205545,AU,0.0,-187.0,Elsight Limited,Technology
VMM.AX,3.5799999237060547,5.500876610171144,2.630978446024675,5.769231286509757,0.696682512651722,74.31192720752108,74.0540516855421,34.83591441591665,-25.68807279247892,4.0,74.06545590291877,0.12599999109903973,1,1,1.0,1.0,1.276764540628581,-0.07253885466305676,-0.04787235830152892,0.020827333045811785,29.54543853593593,1.2420054666970428,0.08735618982217774,3.4161292698000962,98.38012958963283,96.59574468085106,99.13606911447084,97.66454352441613,66.8076109936575,91.01479915433404,60.46511627906976,33.298097251585624,84.93657505285412,91.40127388535032,81.96999595262221,15.327695560253698,61.20507399577168,25.541125541125542,79.87288135593221,97.46300211416491,55.881955713449614,AU,0.0,-274.0,Viridis Mining and Minerals Limited,Basic Materials
DELL,394.3900146484375,1.6670719839811137,22.73502757500989,1.0906037381569549,1.700780409654986,68.97703608435789,74.5063381098308,49.04445579506835,-31.022963915642112,4.0,76.82993968027093,21.122665405273438,1,1,1.0,1.0,1.372365382043686,-0.15359682830954058,-0.06300631674927148,61032.442990242016,38.81579099777527,1.5400583544541104,0.18896705834519012,1.4571002409498253,81.20950323974083,99.57446808510639,91.03671706263499,99.57537154989384,62.7906976744186,91.5433403805497,66.27906976744185,37.315010570824526,84.93657505285412,95.43524416135881,80.96959975448236,10.782241014799155,99.89429175475686,36.25541125541126,90.78389830508475,99.6828752642706,67.47974351886452,US,0.0,-140.0,Dell Technologies Inc.,Technology
HPE,49.20000076293945,1.4702510237549127,4.916029647404577,0.7146033736099788,1.343457195266856,70.46323843281942,74.63280333405433,64.25651103905108,-29.536761567180573,4.0,85.25286511617803,2.247333780924479,1,1,1.0,1.0,1.5573636137102338,-0.12377561129248194,0.1431226699902275,165490.27391695345,65.3539367539971,3.910126753592443,0.19196443336380753,1.3565270474346165,79.04967602591793,97.87234042553192,86.06911447084234,99.25690021231422,63.95348837209303,91.75475687103594,71.24735729386892,36.1522198731501,84.93657505285412,98.93842887473461,80.92308574723431,99.2600422832981,100.0,74.89177489177489,99.6822033898305,99.78858350951374,94.72452081488345,US,0.0,-2.0,Hewlett Packard Enterprise Company,Technology
SIQ.AX,11.920000076293945,2.05771462006204,1.5929870028779636,0.5609675585596212,0.45365857970211176,100.0,68.82352050201365,244.0722967060811,-0.0,4.0,86.66661580403648,0.12266674041748046,1,1,1.0,1.0,1.0533282878844037,0.0,0.04653202080734764,0.29080785560714606,81.17640591007876,0.8495131376745132,0.06243402438574752,1.6567140289767988,86.06911447084234,93.82978723404256,83.36933045356372,95.01061571125265,93.18181818181817,83.08668076109936,99.6828752642706,6.923890063424948,84.93657505285412,56.90021231422505,78.29908995073934,89.21775898520085,71.56448202959831,91.88311688311688,31.25,93.97463002114165,75.57799758381154,AU,0.0,-67.0,Smartgroup Corporation Ltd,Industrials
GNP.AX,10.079999923706055,4.072906977856987,1.6243590866079916,1.754800533248559,0.30768356635191507,75.32462063601369,55.62913719067977,63.99100704263944,-24.675379363986305,4.0,66.23371529824806,0.201333491007487,1,1,1.0,1.0,1.412934432966322,-0.018500538032010017,0.06105262354800578,0.013885305591227732,73.77046489231307,0.799786734477068,0.03213794752020416,2.6864535990812874,96.00431965442765,94.04255319148936,95.35637149028078,90.97664543524417,68.49894291754757,53.38266384778013,71.1416490486258,31.606765327695562,84.93657505285412,96.81528662420382,78.27617725901489,94.18604651162791,60.14799154334038,85.60606060606061,23.728813559322035,81.3953488372093,69.01285221151204,AU,0.0,-125.0,GenusPlus Group Ltd,Industrials
WBT.AX,7.550000190734863,1.5815543065042605,0.1503799101519965,1.4,0.5599173456013153,84.15300688834297,64.15584473490085,94.78207936647465,-15.846993111657028,4.0,69.39890026928707,0.2793333689371745,1,1,1.0,1.0,1.3518479512048587,-0.0369897903327594,0.041379336653084575,-0.007236737156667408,72.05882765429882,0.6276005888291541,0.13649984368744916,1.4134017145532152,79.91360691144709,75.95744680851064,93.41252699784017,96.81528662420382,75.47568710359408,73.89006342494714,81.3953488372093,24.63002114164905,84.93657505285412,94.37367303609342,78.0800235938349,86.1522198731501,45.66596194503171,83.33333333333334,5.932203389830509,98.94291754756871,64.00532721778288,AU,0.0,-174.0,Weebit Nano Limited,Technology
PEB.NZ,0.30000001192092896,1.081662592491821,0.03651612815116184,0.8333333074632621,0.5151515835682337,100.0,62.49999689559232,202.45106881946964,-0.0,4.0,75.61904944854251,0.014333336551984151,1,1,1.0,1.0,2.0144007282371588,0.0,0.13207557779396217,2.9082846658902075,,0.7871202139232771,0.17063469080389404,1.1579629338855368,69.87041036717062,67.5531914893617,88.12095032397409,96.39065817409767,93.18181818181817,70.50739957716702,98.73150105708245,6.923890063424948,84.93657505285412,99.78768577494692,77.60040800618978,99.04862579281183,85.30655391120507,,21.716101694915256,99.36575052854123,76.35925798186835,NZ,0.0,-65.0,Pacific Edge Limited,Healthcare
JBHT,284.95001220703125,1.9942585744408554,0.5819884454584552,0.7544095912804609,0.3378342161611543,100.0,72.71275269497619,115.42365517562118,-0.0,4.0,100.0,3.840667724609375,1,1,1.0,1.0,1.062391701678179,0.0,0.030821617613841834,7.513760038216128,76.19930631672197,0.8991704253820003,0.06876582880336723,1.6242887367282766,85.63714902807776,86.59574468085106,87.04103671706264,92.1443736730361,93.18181818181817,89.74630021141648,86.4693446088795,6.923890063424948,84.93657505285412,59.23566878980891,77.19119010072296,79.38689217758986,91.64904862579282,87.87878787878788,39.936440677966104,95.34883720930233,78.8400013138878,US,0.0,-52.0,"J.B. Hunt Transport Services, Inc.",Industrials
SKS.AX,8.600000381469727,6.351105814924763,13.070156318811456,3.771159405803102,0.9589978685704237,53.65857700731742,62.460583814570676,8.668785755315175,-46.34142299268258,4.0,63.61790337592013,0.24399986267089843,1,1,1.0,1.0,1.1018136023613254,-0.0811965067397572,-0.054945052641772074,0.4966498224851351,29.838674944163813,0.7144714299017849,0.028437114228340832,3.8505863837359957,99.0280777537797,99.14893617021276,97.73218142548596,98.40764331210191,49.78858350951374,70.29598308668076,50.84566596194503,50.317124735729394,84.93657505285412,68.68365180467092,76.91844228129743,13.530655391120508,74.94714587737845,25.97402597402597,12.711864406779661,78.75264270613108,41.18326687108713,AU,0.0,-438.0,SKS Technologies Group Limited,Industrials
PCT.SI,2.240000009536743,2.1181694255623333,3.0729393173040087,1.3532405408320733,0.916485791697923,54.94504976266874,66.19718357155043,25.885597860785293,-45.05495023733126,4.0,67.03295791580611,0.10333334604899089,1,1,1.0,1.0,1.1022629581497139,-0.15471700795310372,0.027522908689077363,30.616479032175835,53.40908721458861,1.6929971603245062,0.046177734793778846,1.6876057228569503,86.93304535637148,97.12765957446808,93.19654427645789,98.30148619957538,50.95137420718816,79.06976744186046,56.65961945031712,49.15433403805497,84.93657505285412,68.78980891719745,76.51202145143449,77.27272727272727,95.77167019027483,58.333333333333336,93.85593220338984,89.85200845665962,83.01713429127699,SG,0.0,-36.0,PC Partner Group Limited,Technology
MU,864.010009765625,7.495866437824804,7.068008268469488,5.0982008257655425,1.3342505644578506,45.84328977417619,60.11703999816369,-11.707375838599203,-54.15671022582381,4.0,74.94913225429872,49.335986328125,1,1,1.0,1.0,1.1283557767783376,-0.19967204280223616,-0.11018536584384653,41.75670004123332,33.495815117999214,0.9517241033661905,0.012969786964190044,4.0,99.56803455723542,98.61702127659574,98.70410367170626,99.15074309978769,43.76321353065539,65.64482029598308,43.97463002114165,56.342494714587744,84.93657505285412,72.92993630573248,76.36315725262794,3.5940803382663846,96.61733615221986,30.41125541125541,49.36440677966102,64.69344608879493,48.93610495403952,US,0.0,-337.0,"Micron Technology, Inc.",Technology
HST,24.6200008392334,2.0029189757873103,0.6271780997407109,0.48847164706047264,0.29394046958275744,100.0,86.32286516080308,146.64115293589603,-0.0,4.0,100.0,0.3080003102620443,1,1,1.0,1.0,0.9996369894000905,0.0,0.07136646343194286,5.739213984202439,,1.0288050983629227,0.0761899602706051,1.6287140998579726,85.7451403887689,87.34042553191489,80.12958963282938,90.76433121019109,93.18181818181817,99.2600422832981,93.12896405919662,6.923890063424948,84.93657505285412,41.932059447983015,76.33428358522792,95.77167019027483,90.38054968287527,,60.16949152542372,96.723044397463,85.76118894900921,US,0.0,-21.0,"Host Hotels & Resorts, Inc.",Real Estate
EOS.AX,10.970000267028809,2.731946783072345,0.4311308205274224,2.9733331468370228,0.10696270796548069,70.34483106373482,65.24823059600855,52.17747550127716,-29.655168936265184,4.0,76.16857978833256,0.47000001271565756,1,1,1.0,1.0,1.1473052124554057,-0.10522022330913783,-0.014375547687956791,2506.0574118373606,47.101452280007045,1.1753224484090918,0.0845025144200473,2.0012387265836047,91.792656587473,84.14893617021276,96.97624190064795,74.73460721868365,63.63636363636363,76.53276955602537,67.23044397463002,36.469344608879496,84.93657505285412,76.64543524416136,75.31033739499313,37.63213530655391,99.36575052854123,49.134199134199136,74.78813559322035,97.14587737843551,71.61321958819002,AU,0.0,-98.0,Electro Optic Systems Holdings Limited,Industrials
NUE,254.38999938964844,3.1547826152299145,1.2278849684884487,0.9380052700607757,0.5126378553258422,80.5425430435167,74.79616691503568,61.736553980505924,-19.45745695648329,4.0,92.85170660334131,4.0679982503255205,1,1,1.0,1.0,0.9616249305903545,-0.03008235254830738,0.01755999755859383,11.286443971628893,60.14796044699941,0.9838743559889909,0.054627344966272195,2.2173028587973365,93.84449244060475,92.23404255319149,89.6328293736501,96.17834394904459,72.3044397463002,91.86046511627907,70.61310782241014,27.801268498942918,84.93657505285412,32.48407643312102,75.18896409863984,70.19027484143763,93.44608879492601,68.5064935064935,53.70762711864406,92.28329809725159,75.62675647175055,US,0.0,-67.0,Nucor Corporation,Basic Materials
